Education;JoiningYear;City;PaymentTier (1: HIGHEST 2: MID LEVEL 3:LOWEST);Salary;Age;Gender;ExperienceInCurrentField;LeaveOrNot
Bachelors;2016;Bangalore;3;528;27;Female;5;0
Bachelors;2015;Pune;3;441;28;Male;2;0
Bachelors;2016;Bangalore;3;362;28;Female;5;0
Bachelors;2018;Bangalore;3;584;25;Male;3;1
Bachelors;2015;Bangalore;3;436;28;Female;5;0
Bachelors;2014;Bangalore;3;524;27;Male;5;1
Bachelors;2013;Bangalore;3;489;26;Male;4;0
Bachelors;2015;Bangalore;1;778;24;Male;2;0
Bachelors;2012;Bangalore;3;472;27;Female;5;0
Bachelors;2012;Bangalore;3;424;25;Male;3;1
Bachelors;2015;Pune;3;582;28;Female;4;1
Masters;2017;Bangalore;2;585;24;Female;2;1
Bachelors;2014;Bangalore;3;585;28;Male;2;0
Masters;2017;Pune;2;676;24;Female;2;1
Bachelors;2014;New Delhi;3;320;26;Female;4;1
Bachelors;2015;Pune;2;681;28;Female;3;1
Masters;2013;Pune;2;617;28;Male;5;1
Bachelors;2013;New Delhi;1;879;28;Female;5;1
Bachelors;2015;Pune;2;573;26;Female;4;1
Masters;2015;New Delhi;3;596;28;Male;2;0
Bachelors;2013;Bangalore;3;363;27;Male;5;0
Bachelors;2018;Bangalore;3;507;28;Male;2;1
Bachelors;2012;Pune;3;324;28;Male;2;0
Bachelors;2014;Pune;3;510;27;Female;5;1
Masters;2018;New Delhi;3;364;24;Male;2;1
Bachelors;2018;Bangalore;3;508;25;Male;3;1
Bachelors;2017;New Delhi;2;672;25;Male;3;0
Bachelors;2014;Pune;3;597;24;Female;2;1
Bachelors;2012;New Delhi;3;462;26;Female;4;0
Bachelors;2014;Pune;3;475;26;Male;4;0
Bachelors;2014;Bangalore;3;366;28;Male;4;0
Bachelors;2018;Bangalore;3;478;26;Male;4;1
Bachelors;2013;Pune;2;664;26;Male;4;0
Bachelors;2013;Pune;2;774;25;Female;3;1
Bachelors;2018;Pune;3;556;25;Male;3;1
Bachelors;2013;Bangalore;3;349;25;Female;3;0
Bachelors;2014;Bangalore;3;337;28;Male;4;0
Masters;2017;New Delhi;3;400;24;Female;2;0
Masters;2017;Pune;2;547;27;Female;5;0
Bachelors;2012;Bangalore;3;447;24;Male;2;0
Bachelors;2017;Pune;3;487;27;Female;5;1
Masters;2017;New Delhi;2;741;28;Male;4;0
Bachelors;2017;New Delhi;2;769;25;Male;3;0
Bachelors;2017;Pune;3;548;25;Male;3;1
Masters;2017;Pune;2;589;24;Female;2;1
Bachelors;2013;Pune;3;428;27;Male;5;1
Bachelors;2016;Bangalore;3;360;26;Female;4;1
Bachelors;2015;Pune;2;520;27;Female;5;1
Bachelors;2014;Bangalore;3;589;27;Male;5;1
Bachelors;2012;Bangalore;3;311;26;Male;4;0
Bachelors;2016;Pune;2;799;27;Female;5;1
Masters;2017;Bangalore;2;673;28;Male;2;0
Masters;2017;New Delhi;3;417;24;Female;2;1
Bachelors;2017;Pune;3;579;24;Male;2;0
Bachelors;2018;Bangalore;3;376;24;Male;2;1
Masters;2017;New Delhi;2;562;28;Male;3;0
Bachelors;2015;Bangalore;3;341;26;Female;4;0
Bachelors;2018;Pune;3;423;26;Female;4;1
Bachelors;2013;Bangalore;3;568;25;Male;3;0
Bachelors;2016;Bangalore;3;356;26;Male;4;0
Masters;2018;Pune;3;539;28;Male;2;1
Bachelors;2016;Bangalore;3;329;26;Male;4;0
Bachelors;2017;Bangalore;3;533;27;Male;5;0
Bachelors;2012;Bangalore;3;453;27;Female;5;0
PHD;2016;New Delhi;3;588;27;Male;5;0
Bachelors;2017;New Delhi;2;516;25;Male;3;0
Bachelors;2015;New Delhi;3;597;28;Female;2;0
Bachelors;2013;Pune;2;797;26;Female;4;1
Bachelors;2017;Bangalore;3;417;27;Female;5;0
Bachelors;2015;Pune;2;644;24;Female;2;1
Bachelors;2017;Bangalore;3;458;27;Female;5;0
Bachelors;2016;Bangalore;3;315;25;Male;3;1
Bachelors;2018;Bangalore;3;380;26;Male;4;1
Bachelors;2015;Bangalore;3;573;27;Male;5;0
Bachelors;2014;Pune;3;439;24;Male;2;0
Bachelors;2012;Bangalore;3;479;27;Male;5;0
Bachelors;2013;Pune;3;335;27;Male;5;0
Bachelors;2015;Bangalore;1;851;25;Male;3;0
Masters;2017;New Delhi;2;617;25;Female;3;0
PHD;2015;Pune;3;425;28;Male;0;0
Bachelors;2015;Bangalore;3;398;28;Male;3;0
Bachelors;2016;Bangalore;3;544;28;Male;5;0
PHD;2013;New Delhi;3;416;24;Male;2;0
Bachelors;2014;Bangalore;3;555;26;Male;4;0
Bachelors;2015;Pune;2;613;26;Female;4;1
Bachelors;2017;Bangalore;3;358;27;Male;5;0
Bachelors;2014;New Delhi;3;402;26;Male;4;0
Masters;2013;Bangalore;3;522;27;Male;5;1
Bachelors;2016;Pune;3;594;24;Male;2;0
Bachelors;2016;Bangalore;3;370;26;Male;4;0
Bachelors;2013;Pune;2;564;28;Female;2;1
Masters;2017;Bangalore;2;531;24;Male;2;1
Masters;2017;New Delhi;2;740;24;Male;2;1
Masters;2015;Pune;2;609;24;Female;2;1
Bachelors;2014;Pune;3;523;26;Male;4;0
Bachelors;2016;Pune;2;654;27;Female;5;1
Bachelors;2017;Bangalore;3;340;25;Male;3;0
Masters;2017;New Delhi;2;645;26;Female;4;0
Bachelors;2016;Bangalore;1;882;25;Female;3;0
PHD;2014;Bangalore;1;807;25;Female;3;0
Bachelors;2013;Bangalore;3;477;25;Female;3;0
Bachelors;2014;New Delhi;3;561;24;Male;2;0
Bachelors;2015;Pune;2;770;28;Female;2;1
Bachelors;2014;New Delhi;3;375;28;Male;5;0
Bachelors;2015;Bangalore;3;366;26;Male;4;0
Bachelors;2014;Bangalore;3;596;25;Male;3;0
Bachelors;2018;Pune;3;388;26;Male;4;1
Masters;2015;Pune;2;690;28;Female;2;0
Masters;2013;New Delhi;3;336;28;Male;2;1
Bachelors;2014;Bangalore;3;420;25;Male;3;0
Masters;2015;New Delhi;2;604;26;Female;4;0
Bachelors;2016;New Delhi;3;300;27;Male;5;0
Bachelors;2014;Bangalore;3;512;24;Female;2;0
Masters;2017;Pune;3;365;24;Female;2;0
Bachelors;2014;Pune;3;361;25;Female;3;1
Bachelors;2015;Pune;3;344;27;Female;5;1
Bachelors;2017;New Delhi;2;578;28;Male;0;0
Bachelors;2017;New Delhi;3;401;25;Female;3;0
Bachelors;2012;Pune;3;530;24;Male;2;1
Masters;2016;New Delhi;3;476;25;Male;3;1
Bachelors;2015;Pune;2;714;26;Female;4;1
Masters;2014;New Delhi;3;312;27;Male;5;0
Bachelors;2015;Bangalore;3;347;24;Female;2;1
Bachelors;2014;New Delhi;3;456;25;Male;3;0
Bachelors;2017;Bangalore;3;427;24;Male;2;0
Bachelors;2017;New Delhi;3;493;24;Female;2;1
Bachelors;2012;Bangalore;3;427;28;Male;1;0
Bachelors;2014;Bangalore;1;747;26;Male;4;0
Bachelors;2017;Bangalore;3;452;28;Male;3;0
Bachelors;2015;Pune;1;900;25;Female;3;1
Bachelors;2015;Pune;2;673;24;Female;2;1
Bachelors;2017;Pune;2;558;26;Male;4;0
Bachelors;2015;Bangalore;3;500;28;Male;0;0
Bachelors;2016;Bangalore;3;387;28;Male;2;0
Bachelors;2013;Pune;3;501;28;Female;3;1
Bachelors;2017;Bangalore;3;373;27;Male;5;0
Masters;2015;New Delhi;3;309;25;Male;3;0
Bachelors;2012;New Delhi;3;378;28;Female;4;0
Bachelors;2012;Bangalore;3;449;26;Male;4;0
Bachelors;2012;Bangalore;3;394;25;Male;3;0
Masters;2017;New Delhi;3;424;25;Male;3;1
Bachelors;2017;Bangalore;3;303;25;Male;3;0
Bachelors;2012;Bangalore;3;583;26;Female;4;0
Bachelors;2017;Bangalore;3;455;26;Female;4;0
Masters;2017;New Delhi;2;539;25;Male;3;1
Bachelors;2015;Bangalore;3;347;25;Male;3;0
Bachelors;2013;Bangalore;3;395;26;Female;4;0
Bachelors;2017;Pune;3;505;25;Female;3;1
Bachelors;2014;New Delhi;3;584;28;Female;2;0
Bachelors;2016;Bangalore;3;500;27;Female;5;0
Bachelors;2018;Bangalore;3;566;25;Male;3;1
Bachelors;2012;Bangalore;3;397;27;Female;5;0
Bachelors;2017;New Delhi;3;582;27;Female;5;0
Bachelors;2016;Bangalore;2;710;25;Male;3;1
Bachelors;2016;Bangalore;3;388;28;Female;4;0
Bachelors;2017;New Delhi;2;585;27;Male;5;0
Bachelors;2016;Bangalore;3;589;24;Female;2;0
Bachelors;2013;Bangalore;3;415;25;Male;3;0
Bachelors;2017;New Delhi;2;651;25;Female;3;0
Bachelors;2015;Pune;3;376;24;Male;2;0
Bachelors;2012;New Delhi;3;345;25;Female;3;0
PHD;2017;New Delhi;3;462;27;Female;5;0
Bachelors;2014;Bangalore;3;454;25;Female;3;1
Masters;2017;Bangalore;3;520;28;Male;2;0
Bachelors;2016;Pune;3;383;25;Male;3;0
Bachelors;2014;Bangalore;3;517;25;Male;3;0
Bachelors;2012;New Delhi;3;520;27;Male;5;0
Bachelors;2012;Pune;3;363;25;Female;3;1
Masters;2015;New Delhi;3;355;27;Female;5;0
Bachelors;2014;Bangalore;3;498;24;Male;2;0
Bachelors;2015;Pune;2;797;27;Female;5;1
Bachelors;2014;Bangalore;3;324;25;Male;3;1
Bachelors;2015;Bangalore;3;597;25;Male;3;0
Bachelors;2018;New Delhi;3;597;26;Female;4;1
Bachelors;2017;Pune;2;645;26;Female;4;1
Bachelors;2014;Pune;2;570;24;Female;2;1
Bachelors;2013;Bangalore;3;578;27;Male;5;0
Bachelors;2017;New Delhi;2;773;27;Male;5;0
PHD;2012;New Delhi;3;526;28;Female;1;0
Masters;2012;New Delhi;3;318;26;Female;4;1
Bachelors;2014;Bangalore;3;500;27;Male;5;0
Bachelors;2013;Bangalore;3;321;28;Female;0;1
Bachelors;2014;Pune;3;460;26;Male;4;0
Bachelors;2016;Pune;2;631;24;Female;2;1
Bachelors;2015;Bangalore;1;802;24;Female;2;1
Bachelors;2012;Bangalore;3;375;26;Female;4;0
Masters;2014;Pune;3;470;27;Male;5;0
Masters;2017;New Delhi;2;713;27;Male;5;1
Masters;2017;New Delhi;1;843;25;Female;3;0
Masters;2012;Pune;3;397;28;Male;0;1
Masters;2012;New Delhi;3;515;28;Male;2;1
Masters;2013;New Delhi;2;759;24;Male;2;1
Bachelors;2015;Pune;3;561;25;Female;3;1
Masters;2017;New Delhi;3;344;28;Male;5;0
Bachelors;2013;Bangalore;3;433;24;Male;2;0
Masters;2015;Bangalore;3;338;28;Male;1;1
Bachelors;2018;Bangalore;3;541;27;Female;5;1
Bachelors;2015;Bangalore;3;365;24;Male;2;1
Bachelors;2014;Pune;3;438;26;Male;4;0
Bachelors;2013;New Delhi;3;414;25;Female;3;0
Bachelors;2013;Bangalore;3;411;26;Male;4;0
Bachelors;2018;New Delhi;3;348;28;Female;0;1
Bachelors;2013;Bangalore;3;555;25;Female;3;0
PHD;2012;Pune;3;385;27;Male;5;0
Bachelors;2013;Bangalore;3;342;24;Male;2;0
Bachelors;2013;Bangalore;3;333;28;Female;3;0
Bachelors;2015;Pune;3;309;24;Male;2;0
Bachelors;2013;Pune;3;366;27;Male;5;0
Bachelors;2012;New Delhi;3;515;27;Male;5;0
Bachelors;2018;Bangalore;3;573;26;Female;4;1
Bachelors;2013;Bangalore;3;489;26;Male;4;0
Bachelors;2015;Pune;2;792;24;Female;2;1
Bachelors;2016;Bangalore;3;586;24;Male;2;0
PHD;2018;Bangalore;3;518;27;Female;5;1
Bachelors;2015;Bangalore;3;320;26;Male;4;0
Bachelors;2015;New Delhi;1;840;26;Female;4;1
Bachelors;2015;Pune;2;708;24;Female;2;1
Bachelors;2013;Pune;3;553;27;Male;5;0
PHD;2016;New Delhi;3;327;24;Female;2;0
Bachelors;2013;Bangalore;3;433;26;Male;4;0
Bachelors;2015;Bangalore;3;531;28;Male;5;0
Bachelors;2015;Bangalore;3;408;26;Female;4;0
Bachelors;2016;Bangalore;3;516;27;Female;5;0
Bachelors;2017;Pune;3;456;25;Female;3;1
Masters;2017;New Delhi;2;761;26;Male;4;1
Bachelors;2012;Bangalore;3;554;27;Male;5;0
Bachelors;2014;Bangalore;3;430;26;Female;4;1
Bachelors;2015;Pune;2;613;25;Female;3;1
Bachelors;2013;Bangalore;3;562;26;Male;4;0
Bachelors;2017;Pune;2;696;28;Male;1;1
Bachelors;2014;Bangalore;3;558;25;Male;3;0
Bachelors;2013;Bangalore;3;500;27;Male;5;0
PHD;2013;Bangalore;3;455;26;Male;4;0
Bachelors;2013;New Delhi;3;584;25;Female;3;1
Bachelors;2017;Bangalore;1;777;28;Female;3;0
Bachelors;2014;Bangalore;3;474;26;Male;4;0
Bachelors;2015;New Delhi;3;305;27;Male;5;0
Masters;2013;Pune;2;695;28;Male;2;1
Bachelors;2013;New Delhi;3;323;25;Female;3;1
Masters;2017;New Delhi;2;527;26;Male;4;0
Masters;2016;New Delhi;3;363;25;Male;3;0
Bachelors;2017;Bangalore;3;596;28;Female;5;0
Masters;2017;New Delhi;2;567;28;Female;2;0
Bachelors;2012;Bangalore;1;875;27;Male;5;1
Bachelors;2018;Bangalore;3;551;27;Male;5;1
Bachelors;2016;Bangalore;3;417;24;Female;2;0
Bachelors;2017;Pune;3;425;26;Male;4;0
Bachelors;2017;New Delhi;3;522;25;Female;3;0
Bachelors;2015;Pune;3;493;28;Female;5;1
Bachelors;2015;Bangalore;3;359;26;Male;4;1
Masters;2015;Pune;2;641;26;Female;4;1
Masters;2015;Pune;3;512;25;Male;3;1
Bachelors;2016;Pune;3;433;27;Female;5;1
Bachelors;2013;Bangalore;3;421;25;Male;3;0
Bachelors;2018;Pune;3;303;26;Male;4;1
Bachelors;2014;Bangalore;3;596;27;Female;5;0
Bachelors;2017;Bangalore;1;899;25;Male;3;0
Bachelors;2015;New Delhi;3;390;26;Male;4;0
Bachelors;2015;Pune;3;512;24;Female;2;1
Bachelors;2015;Bangalore;3;521;28;Male;2;0
Bachelors;2014;Pune;2;641;26;Female;4;1
Bachelors;2017;Bangalore;3;596;27;Male;5;1
Bachelors;2014;Bangalore;3;349;26;Male;4;0
Bachelors;2018;New Delhi;3;488;28;Female;5;1
Bachelors;2015;Bangalore;3;589;28;Male;0;1
Bachelors;2016;New Delhi;3;304;28;Female;3;0
Bachelors;2017;Bangalore;3;567;25;Male;3;0
Bachelors;2015;Pune;3;466;24;Female;2;1
Masters;2018;New Delhi;3;506;28;Male;2;1
Bachelors;2015;Bangalore;3;344;27;Female;5;0
Bachelors;2017;Bangalore;3;306;24;Male;2;1
Bachelors;2017;New Delhi;2;774;28;Female;0;0
Bachelors;2015;Bangalore;3;536;25;Male;3;0
Bachelors;2012;Bangalore;3;490;28;Male;2;0
Bachelors;2013;Bangalore;3;593;26;Male;4;0
Bachelors;2016;Bangalore;1;772;24;Male;2;0
Bachelors;2016;Pune;3;530;27;Male;5;0
Bachelors;2013;Pune;3;592;24;Male;2;0
Masters;2017;Pune;2;558;26;Female;4;1
Bachelors;2017;New Delhi;3;529;26;Male;4;0
Bachelors;2018;Pune;3;493;25;Female;3;1
Bachelors;2018;Bangalore;3;499;24;Male;2;1
Bachelors;2015;Pune;3;588;24;Male;2;0
Bachelors;2013;Bangalore;3;322;24;Female;2;1
Bachelors;2013;Pune;2;778;28;Male;0;1
Bachelors;2018;Bangalore;3;441;24;Male;2;1
Bachelors;2014;Bangalore;3;393;24;Male;2;0
Bachelors;2016;Bangalore;3;567;28;Female;5;0
Bachelors;2014;Bangalore;3;340;25;Male;3;0
Bachelors;2014;Bangalore;3;519;26;Female;4;0
Masters;2017;Bangalore;2;585;28;Male;2;0
Bachelors;2012;Bangalore;3;479;27;Male;5;0
Bachelors;2016;Bangalore;3;513;27;Female;5;0
Masters;2018;Bangalore;3;417;28;Male;2;1
Bachelors;2017;Bangalore;3;556;24;Male;2;0
Bachelors;2012;Pune;3;417;24;Male;2;0
Bachelors;2016;New Delhi;3;338;28;Male;0;0
Bachelors;2012;Bangalore;3;319;27;Male;5;0
Bachelors;2014;Bangalore;3;547;27;Male;5;0
Bachelors;2017;Bangalore;3;573;24;Male;2;1
Bachelors;2012;Bangalore;1;740;27;Male;5;0
Bachelors;2017;Bangalore;3;419;28;Female;5;0
Bachelors;2014;Pune;3;495;25;Male;3;0
Bachelors;2015;Pune;3;543;25;Male;3;0
Bachelors;2017;Pune;2;782;28;Male;0;1
Bachelors;2015;Pune;2;531;26;Female;4;1
Bachelors;2015;Pune;2;766;27;Female;5;1
Bachelors;2015;Pune;3;508;26;Female;4;1
Bachelors;2015;Bangalore;2;785;28;Female;3;1
Bachelors;2012;Pune;3;492;25;Male;3;0
Bachelors;2013;Bangalore;3;450;25;Male;3;1
Bachelors;2016;New Delhi;3;367;26;Male;4;0
PHD;2018;New Delhi;3;510;24;Female;2;1
Bachelors;2014;Bangalore;3;378;27;Female;5;0
Masters;2017;New Delhi;2;699;26;Male;4;1
Bachelors;2015;Pune;2;590;27;Female;5;1
Bachelors;2014;Bangalore;3;309;24;Male;2;0
Masters;2017;Pune;2;783;25;Female;3;0
Bachelors;2017;New Delhi;3;426;28;Female;2;0
Bachelors;2014;Bangalore;3;323;27;Male;5;0
Bachelors;2012;Bangalore;3;489;24;Male;2;0
Bachelors;2018;Pune;3;448;24;Male;2;1
Bachelors;2015;Bangalore;3;378;27;Female;5;1
Bachelors;2015;New Delhi;3;491;28;Female;3;0
Bachelors;2015;Pune;3;333;27;Female;5;1
Bachelors;2015;Bangalore;3;543;28;Male;5;0
Bachelors;2015;New Delhi;2;654;27;Female;5;1
Bachelors;2016;Bangalore;3;467;27;Male;5;0
Masters;2017;New Delhi;3;310;27;Female;5;1
Bachelors;2017;Pune;2;715;26;Female;4;1
Bachelors;2015;Pune;3;380;27;Female;5;1
Bachelors;2018;Pune;3;303;27;Female;5;1
Bachelors;2012;Bangalore;3;345;25;Male;3;0
Bachelors;2017;Bangalore;3;556;25;Male;3;0
PHD;2013;New Delhi;3;404;27;Female;5;1
Bachelors;2016;Bangalore;3;347;28;Male;2;0
Bachelors;2012;Bangalore;3;533;25;Female;3;0
Bachelors;2015;Bangalore;3;307;27;Male;5;0
Bachelors;2016;Pune;2;649;24;Female;2;1
Bachelors;2016;Bangalore;3;492;26;Male;4;1
Bachelors;2014;Pune;3;574;27;Male;5;0
Bachelors;2013;Bangalore;3;440;24;Male;2;0
Bachelors;2017;Bangalore;3;325;25;Male;3;1
Bachelors;2017;Pune;2;743;24;Female;2;1
Bachelors;2013;Bangalore;3;566;27;Male;5;0
Masters;2013;Bangalore;3;481;26;Female;4;1
Bachelors;2012;Pune;3;504;25;Female;3;1
Bachelors;2015;New Delhi;3;449;28;Female;2;0
Masters;2017;New Delhi;2;662;24;Female;2;0
Masters;2013;New Delhi;3;440;26;Male;4;1
Bachelors;2014;Bangalore;3;369;26;Male;4;0
PHD;2016;New Delhi;3;316;24;Female;2;0
Bachelors;2017;New Delhi;3;375;26;Male;4;0
Bachelors;2016;Bangalore;3;329;26;Male;4;0
Bachelors;2014;Bangalore;3;449;27;Male;5;0
Bachelors;2017;New Delhi;3;347;28;Female;0;0
PHD;2016;New Delhi;3;479;27;Female;5;0
Masters;2014;Bangalore;3;550;28;Female;4;1
Bachelors;2014;Bangalore;3;493;28;Female;2;0
Bachelors;2017;Bangalore;3;502;24;Female;2;0
Masters;2015;New Delhi;3;545;28;Male;0;0
Bachelors;2015;Pune;2;768;25;Female;3;1
Masters;2017;Pune;2;700;27;Male;5;1
Bachelors;2014;Pune;2;648;25;Female;3;1
Bachelors;2015;Pune;2;566;28;Female;2;1
Bachelors;2013;Pune;3;534;25;Male;3;0
Bachelors;2013;Pune;1;721;26;Female;4;1
Bachelors;2012;Pune;2;528;27;Female;5;1
Masters;2017;New Delhi;3;392;28;Male;0;0
Bachelors;2012;Bangalore;3;379;28;Female;1;0
Bachelors;2015;Pune;2;684;25;Female;3;1
Bachelors;2015;Bangalore;3;465;26;Male;4;0
Bachelors;2015;Bangalore;3;508;24;Female;2;0
Bachelors;2018;New Delhi;3;539;24;Female;2;1
Bachelors;2017;New Delhi;3;343;27;Female;5;0
PHD;2012;Pune;3;398;27;Male;5;0
Bachelors;2012;Bangalore;3;360;26;Male;4;0
Bachelors;2013;Bangalore;3;586;25;Male;3;1
Bachelors;2015;New Delhi;3;466;24;Female;2;0
Bachelors;2013;Pune;3;490;24;Female;2;0
Bachelors;2016;Pune;3;334;24;Male;2;0
Bachelors;2018;Pune;3;578;24;Male;2;1
Bachelors;2015;Bangalore;3;570;27;Female;5;1
Bachelors;2018;Bangalore;3;441;26;Male;4;1
Bachelors;2012;Pune;3;479;24;Female;2;1
Masters;2017;New Delhi;3;410;27;Male;5;1
Bachelors;2012;Bangalore;3;414;26;Male;4;0
Bachelors;2013;Bangalore;3;533;27;Male;5;0
Bachelors;2015;New Delhi;3;342;25;Female;3;0
Bachelors;2018;Bangalore;3;462;24;Female;2;1
Bachelors;2014;Bangalore;3;501;28;Male;4;0
Bachelors;2013;Pune;1;900;26;Female;4;1
Bachelors;2015;Bangalore;3;475;27;Male;5;0
Bachelors;2013;Bangalore;3;509;24;Male;2;0
Bachelors;2016;Bangalore;3;333;26;Male;4;1
Bachelors;2013;Bangalore;3;594;25;Female;3;1
Bachelors;2016;Bangalore;3;383;27;Male;5;0
Bachelors;2017;Pune;3;385;26;Male;4;0
Bachelors;2018;Pune;2;669;28;Female;5;1
Masters;2017;Pune;2;513;27;Male;5;0
Bachelors;2013;Bangalore;3;461;25;Female;3;0
Bachelors;2017;Bangalore;3;537;24;Male;2;0
Bachelors;2017;New Delhi;2;702;25;Female;3;0
Bachelors;2018;Pune;3;432;27;Female;5;1
Bachelors;2016;Pune;3;471;27;Male;5;0
Bachelors;2013;Bangalore;1;807;24;Male;2;0
Bachelors;2012;Bangalore;1;770;28;Male;3;0
Bachelors;2016;Pune;2;633;28;Female;3;1
Bachelors;2016;Pune;3;457;24;Male;2;0
Bachelors;2017;Bangalore;3;304;28;Male;3;0
Bachelors;2017;Pune;2;703;28;Male;3;0
Bachelors;2017;Bangalore;3;320;25;Female;3;1
Bachelors;2015;Bangalore;3;573;25;Male;3;0
Masters;2013;New Delhi;3;562;25;Male;3;1
Bachelors;2017;Bangalore;3;360;24;Male;2;0
Bachelors;2013;Pune;3;396;27;Male;5;0
Bachelors;2013;Pune;2;612;24;Female;2;1
Bachelors;2017;Bangalore;3;347;28;Male;1;1
Bachelors;2012;Bangalore;3;461;25;Male;3;0
Bachelors;2014;Pune;3;317;26;Male;4;0
Bachelors;2015;Pune;1;858;24;Female;2;1
Masters;2013;New Delhi;3;417;24;Female;2;1
Bachelors;2014;Bangalore;3;573;25;Male;3;0
Bachelors;2017;New Delhi;2;758;26;Male;4;0
Bachelors;2014;Bangalore;3;459;25;Male;3;0
Masters;2013;New Delhi;3;580;25;Male;3;1
Bachelors;2014;Bangalore;3;554;24;Male;2;0
Bachelors;2014;Pune;2;587;28;Female;3;1
Masters;2015;New Delhi;3;440;28;Male;2;0
Bachelors;2015;Bangalore;3;521;28;Male;5;0
Bachelors;2017;Bangalore;3;332;24;Male;2;0
Bachelors;2014;Pune;3;560;27;Male;5;0
Bachelors;2015;Pune;2;656;28;Female;5;1
Masters;2017;New Delhi;2;581;26;Female;4;1
Bachelors;2016;New Delhi;3;313;26;Female;4;0
Bachelors;2016;Bangalore;3;575;26;Female;4;0
Bachelors;2013;New Delhi;3;430;27;Female;5;0
Bachelors;2014;Bangalore;3;580;28;Male;3;0
Bachelors;2017;New Delhi;3;423;25;Male;3;0
Bachelors;2015;Bangalore;1;717;27;Male;5;0
Bachelors;2013;Bangalore;3;545;26;Male;4;0
Bachelors;2014;Bangalore;3;304;24;Female;2;0
Bachelors;2014;Pune;2;767;26;Male;4;0
Bachelors;2013;Bangalore;3;421;24;Male;2;1
Bachelors;2012;Bangalore;3;471;25;Male;3;0
Bachelors;2012;Bangalore;3;523;27;Male;5;0
Bachelors;2012;Bangalore;3;443;28;Male;1;0
Masters;2017;New Delhi;2;681;25;Female;3;1
Bachelors;2014;Bangalore;3;380;25;Male;3;0
Bachelors;2016;Pune;2;652;27;Female;5;1
Bachelors;2017;Pune;3;597;28;Male;3;0
Masters;2017;New Delhi;3;582;28;Male;2;0
PHD;2018;Pune;3;522;26;Male;4;1
Masters;2017;New Delhi;2;507;24;Male;2;1
Bachelors;2014;Bangalore;3;435;28;Male;0;0
Masters;2015;Pune;3;449;26;Female;4;0
Bachelors;2016;Bangalore;3;501;27;Male;5;1
Bachelors;2016;New Delhi;3;538;28;Female;4;0
Bachelors;2012;Pune;3;374;26;Male;4;0
Masters;2015;Bangalore;2;572;27;Female;5;1
Masters;2017;Pune;1;773;28;Male;0;0
Masters;2015;New Delhi;3;479;28;Female;2;0
Bachelors;2017;Bangalore;3;599;26;Male;4;1
Bachelors;2017;Pune;3;372;28;Female;4;1
Bachelors;2015;Pune;3;506;25;Male;3;0
Masters;2017;New Delhi;2;698;27;Female;5;0
Masters;2015;Pune;2;523;27;Female;5;0
Bachelors;2015;Bangalore;3;409;25;Male;3;1
Bachelors;2013;Bangalore;3;540;28;Female;1;0
Bachelors;2015;Pune;3;421;25;Female;3;1
Bachelors;2012;Bangalore;3;437;28;Female;2;1
Bachelors;2016;Pune;3;429;27;Female;5;1
Bachelors;2016;Bangalore;3;386;26;Male;4;0
PHD;2018;New Delhi;3;355;26;Male;4;1
Bachelors;2017;Bangalore;3;399;27;Male;5;0
Bachelors;2018;Pune;3;456;28;Male;2;1
Bachelors;2013;Bangalore;3;318;24;Male;2;0
Bachelors;2013;New Delhi;3;557;26;Male;4;0
Bachelors;2013;Bangalore;3;354;28;Male;1;0
Masters;2017;New Delhi;2;592;28;Female;2;0
Bachelors;2016;Bangalore;1;854;24;Male;2;0
Bachelors;2017;Bangalore;3;452;27;Male;5;0
Bachelors;2014;Pune;2;715;27;Female;5;1
Bachelors;2017;Bangalore;3;445;27;Male;5;0
Bachelors;2017;New Delhi;3;312;27;Male;5;0
Masters;2018;New Delhi;3;577;24;Male;2;1
Bachelors;2016;Bangalore;3;501;26;Male;4;1
Bachelors;2017;Bangalore;3;435;28;Male;3;0
Bachelors;2017;New Delhi;3;374;26;Female;4;0
Bachelors;2016;Pune;3;398;28;Male;3;0
Bachelors;2015;New Delhi;3;330;26;Male;4;0
Bachelors;2014;Bangalore;3;368;26;Male;4;1
Bachelors;2017;Pune;2;538;24;Female;2;1
Bachelors;2016;Bangalore;3;500;26;Male;4;1
PHD;2016;New Delhi;1;739;26;Male;4;0
Bachelors;2018;Bangalore;3;457;24;Female;2;1
Bachelors;2017;Bangalore;2;592;28;Female;1;0
Bachelors;2013;Bangalore;3;397;24;Female;2;0
Masters;2014;New Delhi;3;496;25;Female;3;0
Bachelors;2012;Pune;1;871;26;Male;4;0
Bachelors;2014;Bangalore;3;385;28;Male;5;0
Bachelors;2013;Bangalore;3;531;28;Male;2;1
Masters;2017;Pune;2;726;27;Male;5;0
Bachelors;2016;Bangalore;3;575;28;Male;0;0
Bachelors;2014;New Delhi;3;325;25;Male;3;0
Bachelors;2013;Bangalore;3;346;25;Female;3;1
Bachelors;2017;Bangalore;3;305;24;Female;2;1
Bachelors;2015;Bangalore;3;410;26;Female;4;0
Bachelors;2014;Bangalore;3;372;28;Male;4;0
Bachelors;2017;New Delhi;2;768;28;Male;0;0
Masters;2017;New Delhi;3;520;24;Female;2;0
PHD;2017;Pune;3;476;27;Male;5;0
Bachelors;2015;Bangalore;3;415;28;Female;5;0
Bachelors;2017;New Delhi;3;451;25;Female;3;0
Masters;2017;Bangalore;3;526;25;Male;3;0
